ProductID;ProductName;ProductDescription;ProductPhoto;CategoryID;BasePrice
11;Персональный Бренд;Веб-пространство для продвижения вашей личной марки и профессионального имиджа. Выразительная главная страница с кратким резюме и ключевыми компетенциями, детальный раздел опыта с описанием всех значимых проектов и достижений. Полный набор ваших навыков с визуализацией уровня владения, загружаемое резюме в PDF-формате. Портфолио завершённых проектов с описаниями и результатами, секция с благодарностями и рекомендациями от коллег. Встроённая контактная форма для приглашений на новые проекты и сотрудничество.;Персональный сайт.png;10;17550,00
12;Рекламная Платформа;Инновационный сайт для запуска и продвижения специальных рекламных кампаний и событий. Захватывающий дизайн с использованием современных визуальных эффектов, видеофон с автоматическим проигрыванием яркого видео. Интерактивные элементы: счётчик дней до события, таймер предложения, слайдеры с преимуществами. Встроённые формы регистрации и заказа предложения, интеграция с социальными сетями для массовой рассылки. Полная аналитика кликов, просмотров и конверсий кампании.;Промо-сайт.png;11;27700,00
13;Платформа Онлайн-Обучения;Профессиональная система управления обучением для создания и проведения онлайн-курсов. Структурированные курсы с модулями и уроками, видеолекции в высоком качестве с транскриптами, интерактивные задания и тесты для проверки знаний. Система отслеживания прогресса студентов с детальной статистикой, сертификаты об окончании курсов для резюме. Личные кабинеты студентов и преподавателей с удобным управлением, форум для обсуждения материалов курса. Встроённые платежи за курсы, аналитика популярности и эффективности контента.;Образовательный портал.png;12;80000,00
101;Визитка Micro;Самый базовый вариант: логотип, название компании, 2–3 услуги, телефон, почта и мессенджер. Одна страница, без анимаций и админки. Подходит для тех, кто просто хочет, чтобы контакты были в интернете.;product_101_b8849497496f45fd82ee1d492a668141.jpg;1;111,67
102;Проверка;Тестовое описание услуги или товара. Включает базовые функции и настройки.;;4;102047,85
103;Визитка Lite;Минималистичная одностраничная визитка: основная информация о компании, контакты, услуги и кнопка связи. Готовое решение для тех, кто хочет быстро появиться в интернете без сложной структуры и больших затрат.;;1;10000,40
104;Современное СМИ;Навороченный новостной сайт со всем чем надо.;;8;99999,85
105;Лендинг Promo Lite;Лендинг Promo Lite;;11;7130,88
106;Лендинг реклама;Сделаем лендинг рекламу по вашему желанию;;4;33859,77
107;ТЕСТ;Тестовое описание услуги или товара. Включает базовые функции и настройки.;;1;1111111,11
108;SEO Лендинг 8;Лендинг для SEO.;;4;105755,56
109;МАРКЕТИНГ САЙТ ДЛЯ МАГАЗИНА;Сделаем всё возможное чтобы ваш интернет-магазин был супер популярен.;;2;24211,77
110;Настройка персонального сайта;Сделаем и настроем ВАШ сайт как ВАМ нужно, или сделаем с нуля.;;10;100000,00
111;PremiumPort;Премиальное портфолио о ваших достижения.;;5;53663,43
112;Магазин Start;Простой каталог товаров с корзиной, формой заказа и базовой админкой. Подходит для небольшого ассортимента и первых онлайн-продаж без сложных интеграций.;product_112_123a4f410cc041e08fa9324f184aa046.jpg;2;13000,70
113;Только оформление для блога;Сделаем только оформление для блока с использованием всех современных технологий.;;6;29977,17
114;Блог Lite;Самый простой блог;;6;100,92
115;Company Base;Небольшой корпоративный сайт из 3–5 страниц: о компании, услуги, преимущества, контакты. Чистый дизайн, мобильная версия, базовая SEO-настройка.;;3;22000,10
116;MarketPlace Hub;Полноценная торговая площадка с каталогом товаров, корзиной, личным кабинетом покупателя, системой оплаты и доставки, фильтрами, отзывами и рейтингами. Поддерживает интеграцию с 1С, CRM, службами доставки и онлайн-кассами. Адаптивный дизайн, удобная панель управления, аналитика продаж и автоматические уведомления. Подходит для розничной и оптовой торговли любого масштаба.;product_116_960549688e6e41da90edf5a41eec33a4.jpg;2;55999,90
117;Китайские новости;Вы хотите выйти на китайский рынок, Удачи!;;8;24421,11
118;Витрина;Каталог товаров без онлайн-оплаты и корзины: карточки с фото, описанием, ценой и кнопкой «Заказать» через мессенджер или форму. Для небольшого бизнеса, который только начинает торговать онлайн.;product_118_df71f8ef3cec420d8667e6345f367175.jpg;2;14400,14
119;Форум SimpleTalk;Лёгкий форум на готовом движке с разделами, темами, регистрацией пользователей и личными сообщениями. Подходит для старта небольшого сообщества.;;9;86585,30
120;Портфолио;Одностраничное портфолио с галереей 3–6 работ, коротким описанием автора и контактами. Быстрый запуск для фрилансера, фотографа или дизайнера.;product_120_eba66a2e5c40455791f931feb750f5df.jpg;5;95045,61
121;BlogSpace Pro;Удобная платформа для ведения личного или корпоративного блога. Поддерживает рубрикацию, теги, поиск, подписку на рассылку, комментарии, авторские профили и планирование публикаций. Встроена оптимизация статей под SEO, интеграция с соцсетями и системами аналитики. Минималистичный дизайн делает акцент на контенте и читательском опыте.;product_121_913b9ce92ce5478cae9937dac282242d.jpg;6;55000,55
122;NewsStream;Современное новостное издание с лентой публикаций, редакторской системой, категориями, тегами, быстрым поиском и мгновенной рассылкой. Поддерживает работу нескольких редакторов и журналистов, модерацию комментариев, видео- и фотогалереи, интеграцию с социальными сетями и рекламными сетями. Оптимизирован под высокие нагрузки и быструю индексацию.;product_122_062c1e514b264e7fb4a117961fa08b9d.jpg;8;175000,55
123;InfoStart;Базовый портал на CMS с категориями статей, поиском и страницами разделов. Хороший старт для тематического сайта с возможностью масштабирования.;product_123_b8ad7c71a65546c29b54b54986e0b971.jpg;7;6000,05
124;Corporate Prime;Многостраничный имиджевый ресурс для крупного и среднего бизнеса. Включает разделы «О компании», услуги, кейсы, команду, карьеру, новости и контакты. Реализована многоуровневая структура, мультиязычность, интеграция с корпоративными сервисами, приватные разделы для партнёров и клиентов. Строгий дизайн, высокая производительность и расширенные возможности SEO.;;3;61224,71
125;Сайт для небольшой компании;Небольшой сайт, кривой, но косой.;;3;31349,08
126;Дизайн Лендинг 26;Дизайн для лендинга;;5;11333,00
127;Community Forum;Площадка для общения и обмена опытом с разделами, темами, подписками, личными сообщениями, репутацией пользователей и системой достижений. Включает модерацию, антиспам, уведомления, поиск по обсуждениям и возможность прикрепления файлов. Подходит для нишевых сообществ, технической поддержки и фан-клубов.;product_127_0ce5b6640b7a47728149fe9d38e4ba4d.jpg;9;15000,48
128;Поддержка по дизайну визитки 28;Поможешь с дизайном на сайте визитке;;1;122411,61
129;Personal Brand Site;Индивидуальный сайт-визитка для эксперта, специалиста или публичной личности. Включает биографию, список услуг, расписание, блог, отзывы, медиа-архив и контакты. Помогает сформировать личный бренд, собирать заявки на консультации и демонстрировать экспертность. Лёгкий в управлении и быстрый в запуске.;product_129_a3cd6281938945478f2d441693cedaad.png;10;34333,60
130;LeadFlow Landing;Продающая одностраничная площадка, заточенная под максимальную конверсию. Содержит цепляющий заголовок, структуру боли и решения, блоки преимуществ, отзывы клиентов, FAQ, таймер акций и сильный призыв к действию. Подключаются метрики, A/B-тестирование, чат-боты и CRM. Отличный выбор для запуска рекламных кампаний и сбора заявок.;;4;33000,07
131;Магазин Классический;Полноценный интернет-магазин с каталогом, корзиной, личным кабинетом, фильтрами, отзывами и подключением онлайн-оплаты. Удобная админка для управления товарами, заказами и доставкой.;;2;143458,13
132;Продающий Лендинг;Структурированная одностраничная площадка для сбора заявок и продаж. Включает заголовок-обещание, блоки преимуществ, отзывы, FAQ, акции, формы захвата и интеграцию с CRM или мессенджерами.;product_132_3952ba848341407a956a95ab85203d83.jpg;4;29157,21
133;Настройка работы форума;Настроим ВАШ сайт форум так как вам нужно.;;9;110858,73
135;Лендинг Оптимизация 35;Оптимизируем работу;;4;1000,49
136;Маркетинг Лендинг;Лендинг страница для продвижения;;4;5555,55
137;SuperNews;Сайт новостей по современным стандартам.;;8;97334,68
138;Поддержка сайта для компаний;Поможем решить проблему на сайте.;;3;22974,95
140;NewsLite;Простой новостной сайт с лентой публикаций, категориями и базовой панелью редактора. Быстрый запуск регионального или тематического издания.;;8;22521,13
141;Portfolio Showcase;Стильный сайт для демонстрации работ фотографов, дизайнеров, архитекторов, иллюстраторов и творческих специалистов. Включает адаптивную галерею проектов, фильтры по категориям, страницы кейсов с детальным описанием, раздел «Обо мне», контактную форму и интеграцию с социальными сетями. Акцент на визуал, скорость загрузки и удобство просмотра.;product_141_53845758b3ee4a9dbd6d47b372864e16.jpg;5;140715,45
142;InfoPortal Max;Крупный структурированный ресурс с большим количеством материалов: статьи, справочники, каталоги, рейтинги, инструменты и интерактивные сервисы. Реализованы расширенный поиск, фильтры, персональные рекомендации, система регистрации пользователей и рекламные зоны. Подходит для нишевых энциклопедиям, городских порталов и специализированных медиа.;;7;200000,90
143;Дизайн портфолио;Дизайн и только дизайн.;;5;23111,84
144;Копирайтинг Маркетинг 44;Корпоративный сайт маркетинга;;3;75366,47
146;Дизайн Поддержка для Landing Page;Доработает и сделаем как надо.;;5;1,87
147;Лендинг OnePage;Простой обычный лендинг старница.;;4;1000,00
148;Поддержка форума;Сделаем всё возможное чтобы ваш сайт форума заработал с гарантией. За ВАШИ деньги.;;9;54,47
149;Блог Авторский;Полноценный блог с категориями и тегами, подпиской на рассылку, комментариями, авторами, поиском и планировщиком публикаций. SEO-оптимизированные статьи, интеграция с социальными сетями.;;6;55639,85
150;Company Lite;Небольшой сайт компании на 3–4 страницы: «О нас», услуги, преимущества, контакты. Чистый адаптивный дизайн, телефон и почта в шапке. Без личного кабинета и сложных интеграций.;product_150_bf7b5ba9675c4ddfbb31813836d3deb3.jpg;3;31110,84
151;Школа Онлайн;Образовательная платформа с каталогом курсов, видеоуроками, тестами, личными кабинетами ученика и преподавателя, прогрессом обучения и сертификатами. Подходит для онлайн-школ и корпоративного обучения.;product_151_f3136e95595541a0bdc802704b66a68e.jpg;12;200000,11
152;Promo Page X;Яркий и запоминающийся сайт для рекламной кампании, презентации продукта, фильма, игры или события. Включает анимации, интерактивные элементы, игровые механики, сбор заявок, интеграцию с соцсетями и вирусные инструменты шаринга. Создаёт эмоциональную вовлечённость аудитории и усиливает эффект от рекламных активностей.;;11;27600,00
153;Портфолио Профи;Структурированная одностраничная площадка для сбора заявок и продаж. Включает заголовок-обещание, блоки преимуществ, отзывы, FAQ, акции, формы захвата и интеграцию с CRM или мессенджерами.;;5;11313,90
154;Портфолио Mini;Лёгкий сайт с несколькими страницами: об авторе, 4–8 работ в галерее и контакты. Удобный вариант для начинающих специалистов.;;5;3352,54
155;EduPortal Academy;Комплексная платформа для обучения с каталогом курсов, видеоуроками, тестами, домашними заданиями и сертификатами. Поддерживает личные кабинеты студентов и преподавателей, прогресс обучения, форумы, чаты, систему оплаты и рассылок. Подходит для онлайн-школ, корпоративного обучения и образовательных центров.;;12;20000,84
156;Лендинг кафе;Простой лендинг для рекламы кафе.;;4;3333,15
157;Школьный сайт №1;Самый лучший образовательный портал для школьников и их родителей.;;12;138735,93
158;Копирайтинг Продвижение 58;Тестовое описание услуги или товара. Включает базовые функции и настройки.;;8;50751,23
159;Студенческий сайт типа ЖЖ;ЖЖ это популярно;;9;22131,35
160;Оптимизация Лендинг 60;Оптимизируем ваш лендинг или сделаем новый за ВАШИ деньги.;;4;2,00
